Frame,Total Faces,Average Confidence,Processing Time (ms)
0,14,0.6774411,241.13726615905762
1,12,0.65716124,213.0270004272461
2,9,0.6360099,203.28783988952637
3,14,0.73527056,201.25198364257812
4,15,0.72660065,202.6040554046631
5,15,0.7300475,218.74499320983887
6,14,0.733529,211.19189262390137
7,16,0.69870114,200.84881782531738
8,15,0.7243694,201.71022415161133
9,14,0.7426916,201.26080513000488
10,16,0.68376374,198.5189914703369
11,13,0.7370412,200.98185539245605
12,16,0.7040688,199.31530952453613
13,13,0.7448321,199.90777969360352
14,13,0.7322191,196.7298984527588
15,13,0.7439435,197.07989692687988
16,16,0.7233484,197.99304008483887
17,15,0.7243455,198.7316608428955
18,13,0.74325633,196.88081741333008
19,15,0.7237465,197.1879005432129
20,15,0.74983525,197.48806953430176
21,16,0.73328495,196.50006294250488
22,15,0.7378834,199.20110702514648
23,16,0.71326005,199.55778121948242
24,16,0.7252479,199.3560791015625
25,16,0.7082776,212.04686164855957
26,15,0.7305325,282.69386291503906
27,15,0.7562511,267.7788734436035
28,16,0.7215805,215.2261734008789
29,15,0.7281694,196.98500633239746
30,15,0.7262564,196.3977813720703
31,13,0.72530586,198.55999946594238
32,14,0.7276219,215.37017822265625
33,16,0.7024325,233.85095596313477
34,14,0.7697954,198.2553005218506
35,15,0.73535645,196.80213928222656
36,15,0.730782,199.48196411132812
37,15,0.7475116,198.7621784210205
38,16,0.7353503,197.23916053771973
39,16,0.72656775,196.84195518493652
40,14,0.76062727,195.0979232788086
41,14,0.75273055,197.2339153289795
42,14,0.75214785,196.4700222015381
43,15,0.74972177,147.36676216125488
44,15,0.75318503,219.3470001220703
45,15,0.73684347,203.74703407287598
46,14,0.76194924,198.6711025238037
47,15,0.75166893,199.13315773010254
48,14,0.7505201,199.92589950561523
49,15,0.73592067,203.88102531433105
50,16,0.7188194,205.9159278869629
51,14,0.7445969,198.87900352478027
52,16,0.727752,197.3590850830078
53,16,0.7020769,196.63524627685547
54,10,0.7070945,219.47789192199707
55,12,0.71339947,209.39016342163086
56,12,0.7083046,203.51910591125488
57,12,0.7103544,210.11614799499512
58,15,0.7005932,201.74288749694824
59,13,0.7563222,203.05705070495605
60,16,0.7299184,201.3390064239502
61,16,0.70481133,199.65076446533203
62,15,0.7345183,197.17025756835938
63,14,0.7316727,196.76804542541504
64,15,0.74610424,197.80826568603516
65,14,0.7432446,196.3798999786377
66,15,0.69843465,197.8738307952881
67,14,0.7459598,196.65098190307617
68,16,0.73210883,197.72624969482422
69,15,0.736601,196.70915603637695
70,16,0.73628616,196.8679428100586
71,15,0.744913,196.5022087097168
72,16,0.73635995,196.37393951416016
73,15,0.74470556,196.64716720581055
74,16,0.73728323,196.72393798828125
75,16,0.7431355,196.46382331848145
76,16,0.748906,197.62086868286133
77,17,0.7209354,196.81215286254883
78,17,0.71446794,196.55203819274902
79,16,0.71278864,194.92506980895996
80,17,0.72005624,197.19910621643066
81,17,0.71658725,196.6557502746582
82,17,0.70901746,197.02506065368652
83,16,0.7140933,196.50983810424805
84,18,0.70207494,197.0350742340088
85,16,0.7233362,196.25496864318848
86,16,0.73021996,197.25894927978516
87,15,0.74378914,196.56920433044434
88,17,0.7174431,197.65686988830566
89,17,0.72730213,196.76494598388672
90,15,0.7320219,197.21412658691406
91,16,0.7346409,199.43499565124512
92,18,0.71147734,200.3457546234131
93,17,0.7201504,194.7019100189209
94,16,0.7151163,199.01323318481445
95,15,0.7336168,194.53907012939453
96,16,0.72726357,197.25608825683594
97,17,0.7130742,196.8991756439209
98,15,0.72732997,194.26298141479492
99,15,0.7293049,196.6691017150879
