Frame,Total Faces,Average Confidence,Processing Time (ms)
0,15,0.62453324,201.60794258117676
1,18,0.67181325,201.9369602203369
2,17,0.6592677,203.89413833618164
3,15,0.66542745,201.30181312561035
4,17,0.6441031,201.6308307647705
5,16,0.61714476,203.25493812561035
6,20,0.62430555,199.20086860656738
7,18,0.6247275,201.5821933746338
8,16,0.63250995,199.67007637023926
9,18,0.6618226,235.26287078857422
10,17,0.6791039,204.68807220458984
11,16,0.63769764,200.50477981567383
12,21,0.6334411,201.88498497009277
13,20,0.6557797,201.54190063476562
14,17,0.6707095,197.2637176513672
15,15,0.6380643,196.58994674682617
16,19,0.6515001,212.01705932617188
17,17,0.6609052,254.32586669921875
18,16,0.64626026,307.50107765197754
19,17,0.6609556,209.1350555419922
20,19,0.65173495,198.43220710754395
21,17,0.64820814,195.26314735412598
22,15,0.62612766,196.93803787231445
23,15,0.6413423,222.63407707214355
24,19,0.6493268,219.0990447998047
25,16,0.65228844,196.92015647888184
26,17,0.6287833,197.48520851135254
27,16,0.6597025,196.51198387145996
28,18,0.65743786,200.1330852508545
29,19,0.6310909,197.5858211517334
30,18,0.6327383,199.22184944152832
31,16,0.654181,197.24726676940918
32,19,0.6425033,197.77393341064453
33,17,0.64879936,196.3961124420166
34,18,0.6458818,197.2177028656006
35,19,0.6325522,197.82018661499023
36,19,0.66543746,198.23598861694336
37,19,0.6324627,196.40707969665527
38,18,0.6493686,196.8369483947754
39,18,0.67609596,196.29716873168945
40,20,0.6646497,200.68097114562988
41,19,0.64861727,194.75388526916504
42,19,0.6469425,196.6989040374756
43,20,0.644951,197.36289978027344
44,20,0.64991397,195.41096687316895
45,19,0.6495747,196.92301750183105
46,17,0.67891324,196.72393798828125
47,19,0.65415096,197.113037109375
48,19,0.6663868,195.79696655273438
49,19,0.65350837,197.79181480407715
50,20,0.6485134,194.95892524719238
51,20,0.6523024,194.65994834899902
52,19,0.66232395,200.06299018859863
53,20,0.65896475,194.43464279174805
54,18,0.6729186,197.7989673614502
55,19,0.6757933,196.6867446899414
56,19,0.6688657,197.6339817047119
57,17,0.68038595,196.5639591217041
58,18,0.6690135,196.43688201904297
59,20,0.65133417,197.71289825439453
60,19,0.68253034,197.72577285766602
61,19,0.69753367,194.6277618408203
62,20,0.6826343,197.0210075378418
63,19,0.67748374,197.36504554748535
64,19,0.67427737,198.31275939941406
65,19,0.65747565,196.5031623840332
66,18,0.6798028,196.58875465393066
67,19,0.68671846,196.98309898376465
68,20,0.68217087,198.22096824645996
69,22,0.67146313,195.2497959136963
70,21,0.6796854,195.1889991760254
71,20,0.67759377,197.12114334106445
72,21,0.6617517,198.0741024017334
73,17,0.68156165,196.90275192260742
74,21,0.65810615,194.9598789215088
75,20,0.68599737,197.0198154449463
76,20,0.6849247,195.98698616027832
77,20,0.6848973,198.39191436767578
78,20,0.6726693,195.73593139648438
79,22,0.6584224,196.990966796875
80,21,0.6604164,195.62864303588867
81,22,0.6608312,197.27492332458496
82,19,0.68486375,197.77274131774902
83,20,0.67066115,197.1127986907959
84,21,0.67992514,195.66798210144043
85,19,0.67603654,197.08800315856934
86,20,0.6629912,197.15189933776855
87,19,0.67342454,197.13497161865234
88,20,0.67597973,197.42631912231445
89,20,0.6727675,197.19576835632324
90,21,0.66426396,197.45302200317383
91,20,0.67029417,194.55599784851074
92,19,0.67634875,197.8931427001953
93,20,0.66804737,287.80484199523926
94,20,0.66178346,200.43396949768066
95,20,0.6672402,199.62525367736816
96,19,0.6771581,199.56517219543457
97,18,0.6908105,197.05724716186523
98,19,0.6782908,196.6707706451416
99,18,0.685811,197.04890251159668
100,19,0.6750992,197.9389190673828
101,20,0.66290337,197.4048614501953
102,18,0.6776931,194.65398788452148
103,20,0.66091263,196.98309898376465
104,21,0.66414297,197.9820728302002
105,20,0.6668853,195.28484344482422
106,19,0.6814929,195.01996040344238
107,21,0.66552013,197.10087776184082
108,20,0.66835606,198.1520652770996
109,21,0.66098034,195.18208503723145
110,20,0.6707516,197.21508026123047
111,20,0.67367923,197.03292846679688
112,20,0.6759745,197.87120819091797
113,21,0.6676023,195.01495361328125
114,20,0.67539155,197.10493087768555
115,20,0.6721018,197.1750259399414
116,20,0.66406167,195.65916061401367
117,19,0.6749176,197.0970630645752
118,20,0.67122585,196.8381404876709
119,19,0.68898064,197.65210151672363
120,19,0.6904801,194.9460506439209
121,19,0.6836994,197.13521003723145
122,20,0.68224984,197.01504707336426
123,20,0.66964525,195.1587200164795
124,19,0.6812229,197.80921936035156
125,19,0.6796977,196.90608978271484
126,19,0.68335354,197.0047950744629
127,20,0.6779049,195.17278671264648
128,19,0.68653405,198.35376739501953
129,19,0.67552245,197.3249912261963
130,19,0.6776128,195.97196578979492
131,19,0.67547536,196.84481620788574
132,19,0.6752031,197.78680801391602
133,20,0.6619543,197.4508762359619
134,21,0.6585786,195.85514068603516
135,20,0.66274196,197.0689296722412
136,19,0.6801752,197.6311206817627
137,19,0.67964494,197.4809169769287
138,18,0.68624175,195.3117847442627
139,19,0.66858226,197.24798202514648
140,19,0.6807975,197.48497009277344
141,18,0.68197286,194.9138641357422
142,18,0.68086076,196.87819480895996
143,17,0.68794686,197.01194763183594
144,18,0.6826818,197.68595695495605
145,18,0.6776099,196.699857711792
146,19,0.6758567,194.6558952331543
147,18,0.6870956,197.27301597595215
148,19,0.68442714,197.58176803588867
149,19,0.6939082,203.00602912902832
150,20,0.6838798,201.83396339416504
151,19,0.6886571,197.59202003479004
152,20,0.67664367,197.84283638000488
153,20,0.67569625,196.1841583251953
154,19,0.68509275,201.85589790344238
155,18,0.703735,255.32984733581543
156,18,0.70021856,295.5048084259033
157,19,0.68733096,206.9559097290039
158,20,0.68328583,192.47698783874512
159,20,0.6802434,195.23096084594727
160,19,0.6870219,195.32108306884766
161,18,0.6899237,198.2400417327881
162,19,0.68846977,233.05296897888184
163,18,0.7030795,206.94494247436523
164,17,0.70196325,199.4321346282959
165,19,0.6839266,196.19202613830566
166,19,0.68961024,197.36194610595703
167,19,0.6901664,196.8832015991211
168,18,0.7076947,197.6618766784668
169,18,0.6957429,197.28994369506836
170,17,0.7148022,197.0078945159912
171,20,0.6786847,194.93508338928223
172,19,0.6870046,197.86596298217773
173,19,0.6846644,197.17669486999512
174,19,0.68519735,197.1900463104248
175,20,0.673325,194.55885887145996
176,19,0.685184,197.76511192321777
177,19,0.6833348,197.03292846679688
178,20,0.6679364,195.24312019348145
179,20,0.6648378,197.58176803588867
180,17,0.69808906,197.4773406982422
181,18,0.6860369,196.46501541137695
182,18,0.68198776,195.235013961792
183,18,0.6892822,196.77996635437012
184,18,0.6982389,197.6921558380127
185,19,0.68021995,196.81215286254883
186,19,0.68292993,196.66099548339844
187,17,0.69603616,194.61894035339355
188,17,0.6913867,197.3888874053955
189,17,0.68918866,196.90394401550293
190,17,0.6983804,196.5627670288086
191,18,0.6930139,196.6710090637207
192,18,0.6996624,196.59185409545898
193,17,0.70443827,197.25990295410156
194,17,0.7048231,196.54178619384766
195,19,0.68206096,194.7789192199707
196,17,0.70636255,197.42178916931152
197,18,0.6939968,197.37911224365234
198,18,0.69577336,194.26202774047852
199,18,0.6974752,196.34318351745605
200,19,0.6972134,197.59392738342285
201,17,0.70748466,196.732759475708
202,18,0.6945806,197.52907752990723
203,18,0.6978461,197.46994972229004
204,18,0.7005407,197.36027717590332
205,18,0.69784373,196.78378105163574
206,18,0.7017215,195.59693336486816
207,17,0.70116746,196.8669891357422
208,16,0.7146971,198.5158920288086
209,16,0.71396476,194.2460536956787
210,17,0.7025314,194.84329223632812
211,16,0.7064544,206.56895637512207
212,18,0.69925976,225.28719902038574
213,18,0.70417947,200.84500312805176
214,17,0.70043206,196.9757080078125
215,17,0.6959982,197.1879005432129
216,17,0.69717735,197.9198455810547
217,17,0.6999998,196.75612449645996
218,15,0.71187145,196.78282737731934
219,18,0.7045637,196.3329315185547
220,17,0.6882476,197.46732711791992
221,16,0.6850245,196.23398780822754
222,20,0.6521732,197.34811782836914
223,18,0.6633682,196.68984413146973
224,18,0.68351007,197.45707511901855
225,18,0.6793211,204.14423942565918
226,16,0.69155324,214.02311325073242
227,16,0.6981287,199.56398010253906
228,17,0.7076395,196.5341567993164
229,16,0.7036168,197.28612899780273
230,17,0.6827054,196.88177108764648
231,20,0.6727289,198.0149745941162
232,19,0.6613122,199.7971534729004
233,19,0.66039383,194.85211372375488
234,14,0.64762,196.93279266357422
235,15,0.6951727,197.25918769836426
236,17,0.64675653,196.80309295654297
237,19,0.65203226,197.27826118469238
