Frame,Total Faces,Average Confidence,Processing Time (ms)
0,2,0.64198685,199.51629638671875
1,5,0.60877544,200.31476020812988
2,3,0.62419856,205.4460048675537
3,2,0.747833,198.18687438964844
4,4,0.69425905,200.77991485595703
5,7,0.6202817,203.62186431884766
6,4,0.6987107,198.2119083404541
7,6,0.6087985,200.65784454345703
8,4,0.6558478,207.2768211364746
9,6,0.6383557,208.6021900177002
10,6,0.64961344,200.8969783782959
11,7,0.62911147,197.8890895843506
12,7,0.66153955,202.21805572509766
13,7,0.6452571,197.84808158874512
14,7,0.66736263,198.37617874145508
15,8,0.6568924,196.15697860717773
16,8,0.62485826,198.56905937194824
17,8,0.62933403,196.34389877319336
18,7,0.6415351,196.57278060913086
19,6,0.66609174,195.8608627319336
20,8,0.645483,195.97196578979492
21,8,0.63718164,196.12383842468262
22,8,0.6310704,193.9868927001953
23,7,0.6181337,196.03514671325684
24,7,0.6732141,195.9538459777832
25,8,0.65610427,196.04182243347168
26,7,0.6852657,196.05302810668945
27,8,0.6813968,194.40627098083496
28,8,0.67039365,195.70612907409668
29,8,0.63499796,196.23398780822754
30,6,0.6807766,196.0592269897461
31,6,0.65439945,196.21992111206055
32,7,0.6266766,194.77200508117676
33,6,0.6576776,196.15578651428223
34,7,0.6500635,196.51508331298828
35,8,0.642074,196.1190700531006
36,6,0.65328926,195.6040859222412
37,8,0.65058637,196.9301700592041
38,8,0.6376501,199.06997680664062
39,7,0.6231912,195.8770751953125
40,7,0.628985,195.68681716918945
41,7,0.6214094,196.24614715576172
42,7,0.6676362,195.5702304840088
43,6,0.65780985,195.4057216644287
44,5,0.6654298,195.07384300231934
45,7,0.6186484,195.47319412231445
46,5,0.6633289,196.00224494934082
47,5,0.66170233,195.5878734588623
48,5,0.63141644,193.13287734985352
49,6,0.6326621,195.47200202941895
50,5,0.64253175,195.5099105834961
51,5,0.6499189,195.87397575378418
52,5,0.6422383,195.21784782409668
53,5,0.6619213,195.27673721313477
54,5,0.6299289,195.71971893310547
55,5,0.66313124,192.94476509094238
56,5,0.6598102,195.3258514404297
57,5,0.65446365,232.02085494995117
58,6,0.6346971,290.16780853271484
59,6,0.63196474,237.0140552520752
60,5,0.6353857,195.51897048950195
61,5,0.6399649,195.59693336486816
62,6,0.62835807,195.61290740966797
63,6,0.6171896,195.82009315490723
64,6,0.60633534,228.0576229095459
65,6,0.6100871,208.90331268310547
66,6,0.6145523,197.59392738342285
67,5,0.6300251,198.12989234924316
68,5,0.6239952,195.6958770751953
69,4,0.63863647,195.98817825317383
70,5,0.621606,195.67489624023438
71,6,0.6077077,195.69802284240723
