Frame,Total Faces,Average Accuracy
0,15,0.7133653660615286
1,14,0.7720904350280762
2,6,0.6454366743564606
3,7,0.5802111625671387
4,13,0.7602996741022382
5,19,0.7709010595625098
6,15,0.7634825706481934
7,18,0.7944333023495145
8,15,0.7721004976945764
9,18,0.7501687163656409
10,19,0.7266698122024536
11,15,0.8355056292870465
12,18,0.7339749011126432
13,16,0.7766133044895372
14,15,0.6917076945304871
15,16,0.7945622766719145
16,18,0.8102499189830962
17,19,0.7414154469966888
18,19,0.8040605515241623
19,18,0.7925432459874586
20,18,0.8191774675720617
21,18,0.8249783747726016
22,18,0.8022406157993135
23,19,0.7873252707978954
24,20,0.809018924832344
25,19,0.8067834628255743
26,18,0.7999212980270386
27,19,0.7469397575958915
28,20,0.7882268677155176
29,16,0.7964422762393951
30,18,0.7794391989707947
31,15,0.755932839293229
32,17,0.7859538561768002
33,10,0.6665674100319544
34,11,0.6582487374544144
35,19,0.7967365950345993
36,8,0.7258410692214966
37,15,0.7902038156986236
38,13,0.7996230791596806
39,10,0.7240657622997577
40,16,0.7748275058610099
41,18,0.7484425358150316
42,19,0.8025616735219956
43,20,0.7641581988334656
44,19,0.7923952963041223
45,18,0.8072618816209876
46,19,0.7766023822452711
47,18,0.7844471420560565
48,19,0.762113070487976
49,18,0.8242921382188797
50,17,0.772187119180506
51,18,0.7853732190348885
52,19,0.7545158289946042
53,18,0.7577945658793817
54,18,0.7984965711832046
55,18,0.7414490928252538
56,19,0.7862099781632423
57,18,0.7923624054952101
58,19,0.7610261539618174
59,19,0.7800021378890328
60,20,0.7506813001632691
61,19,0.7807320927580198
62,20,0.7466111754377683
63,18,0.7844915091991425
64,18,0.7737949598919261
65,22,0.7578267340476696
66,20,0.7531817886564467
67,20,0.7632866287231446
68,21,0.7330320124272947
69,19,0.7933164338270823
70,19,0.7726160958409309
71,19,0.7887278743412184
72,19,0.7956565157933668
73,20,0.7479175686836242
74,19,0.7573999340335528
75,20,0.751318138379317
76,18,0.8076796645209903
77,19,0.7799529206185114
78,19,0.7595603267351786
79,19,0.7912288137844631
80,17,0.760743726854739
81,19,0.7534280394514402
82,18,0.7381810545921326
83,17,0.8013230727778541
84,17,0.7592446714639663
85,16,0.7189877006140623
86,17,0.7307516869745756
87,19,0.7252974724769592
88,14,0.7789076461511499
89,19,0.7447076466950503
90,18,0.7777347461037014
91,16,0.7623872823185391
92,17,0.7430653301152316
93,17,0.7388438711995664
94,16,0.7538483639558157
95,18,0.8047500225630674
96,17,0.8206151127815247
97,17,0.7439038679003716
98,17,0.7392001964829185
99,17,0.7831373072805858
100,17,0.7730979174375534
101,18,0.7714148674692426
102,17,0.7762252876633092
103,18,0.788620962983086
104,18,0.6975399147380482
105,18,0.7762464313280015
106,20,0.7573416829109192
107,18,0.7917286336421967
108,18,0.7373877263069153
109,17,0.7503388077020645
110,18,0.7408367618918419
111,14,0.7601753383874893
112,19,0.7129262733459473
113,19,0.7734030306339263
114,19,0.7637258853231158
115,17,0.8047055999437968
116,18,0.760808472832044
117,18,0.7850017988163492
118,18,0.7332849154869715
119,18,0.7728869996287606
120,17,0.7522974273432856
121,18,0.798172602057457
122,18,0.8064940912382943
123,18,0.7953817091490093
124,19,0.7615226060152054
125,17,0.7750463201886132
126,18,0.791527197474525
127,20,0.7935133602308191
128,21,0.7815250598866007
129,18,0.7968267852609808
130,18,0.7734226714009824
131,18,0.7726240339486495
132,18,0.7719010064999262
133,18,0.7711473951737086
134,20,0.7698276180487412
135,21,0.7939158415794373
136,20,0.7697487679811624
137,20,0.7501706460426594
138,22,0.7693454159630669
139,21,0.7510730953052126
140,22,0.7741127875116136
141,21,0.7646824253929986
142,20,0.7549481413982533
143,22,0.7683732715936807
144,22,0.778169891834259
145,20,0.7540742887390984
146,21,0.7578515431710652
147,20,0.7418059007874851
148,22,0.7485352435282299
149,22,0.7706111626965659
150,22,0.7750962376594543
151,21,0.7684355699099027
152,20,0.7644008177298086
153,19,0.7768592437108358
154,21,0.7598404543740409
155,21,0.7469408472379049
156,22,0.7555863349526016
157,22,0.7632680322442736
158,22,0.7582121923052031
159,22,0.7522612501835001
160,20,0.770039072403541
161,22,0.7386490809065955
162,23,0.752544356243951
163,21,0.7660134847347553
164,22,0.7459433951548168
165,21,0.7792097628116608
166,21,0.7313168900353568
167,21,0.7458110404014587
168,21,0.7359054508032622
169,22,0.7285230248062698
170,21,0.7565333199501038
171,21,0.7645808507998785
172,21,0.7206749128443855
173,21,0.7183863818645477
174,21,0.7141594418457576
175,21,0.7109485042506251
176,20,0.7401273369789123
177,20,0.7224868116555391
178,21,0.7144115655510513
179,20,0.7449459706743559
180,20,0.7418127730488777
181,19,0.7307956790924073
182,19,0.7568040490150452
183,21,0.7132657085146222
184,21,0.7222761840655886
185,21,0.7236311563423702
186,21,0.7346991140108842
187,20,0.7345488238334655
188,20,0.721863740020328
189,19,0.7379867457426511
190,21,0.711320932569175
191,22,0.7315386754495127
192,22,0.7486191615462303
193,23,0.7409432662857903
194,22,0.7097153186798095
195,23,0.6997880861163139
196,23,0.7000700869867879
197,23,0.6973021964232127
198,22,0.7763559896013011
199,22,0.7878977423128875
200,22,0.7691641673445702
201,22,0.7134353908999213
202,21,0.7220635137387684
203,21,0.7543091702461243
204,21,0.7934336610462355
205,21,0.7917295331540315
206,21,0.7762687413588815
207,21,0.7618822629253069
208,21,0.7475197439392408
209,23,0.7373741773458627
210,24,0.7441302446218637
211,22,0.7567853381236395
212,22,0.7768170574437017
213,22,0.7382443904876709
214,20,0.7628019338562375
215,20,0.7363866956337638
216,21,0.7436191812157631
217,20,0.7403967199118241
218,20,0.7532168572599237
219,20,0.7680808874693784
220,21,0.741165687640508
221,21,0.6933485652719226
222,20,0.7098187254025385
223,20,0.7007203587779293
224,20,0.7281340861320496
225,20,0.7466688372872092
226,20,0.7406341270966963
227,20,0.7272902553280195
228,20,0.7215617721279463
229,20,0.7093004037936529
230,20,0.7107309595398281
231,19,0.7273451245349386
232,19,0.7395059725512629
233,19,0.741930832033572
234,19,0.7383967439333597
235,19,0.7192035963137945
236,19,0.7253822115334597
237,19,0.7426101902256841
238,19,0.7507882999337238
239,19,0.7441832293634829
240,19,0.7512287445690321
241,19,0.7570582887400752
242,19,0.7288322895765305
243,19,0.720277508864036
244,20,0.7294065608428075
245,20,0.7551421263943547
246,18,0.7738039656118914
247,18,0.773316502571106
248,20,0.7534411400556564
249,21,0.744101059436798
