Frame,Total Faces,Average Confidence,Processing Time (ms)
0,13,0.6156814,196.87795639038086
1,14,0.6029366,200.99306106567383
2,3,0.5458867,200.41489601135254
3,2,0.55981386,202.49700546264648
4,11,0.60838014,204.38385009765625
5,12,0.65899533,199.7969150543213
6,8,0.6927904,208.88495445251465
7,9,0.6602567,212.71824836730957
8,13,0.62862194,201.50113105773926
9,17,0.64409614,203.9499282836914
10,14,0.63502926,200.66404342651367
11,12,0.64775705,198.3029842376709
12,11,0.67040735,201.50089263916016
13,11,0.65144587,198.14705848693848
14,13,0.6246528,196.78997993469238
15,15,0.6463057,196.48408889770508
16,19,0.65067637,197.10278511047363
17,14,0.65641344,196.64788246154785
18,17,0.635486,197.6001262664795
19,17,0.64712185,196.9602108001709
20,14,0.6762867,197.13306427001953
21,18,0.6392578,197.0198154449463
22,18,0.63249516,194.89383697509766
23,17,0.6654319,196.15411758422852
24,18,0.6531063,197.998046875
25,17,0.6504313,197.49212265014648
26,18,0.63606554,196.80404663085938
27,19,0.64777,197.0679759979248
28,15,0.669711,198.36902618408203
29,17,0.6319684,256.350040435791
30,14,0.6096598,472.7761745452881
31,14,0.6695371,314.223051071167
32,17,0.62754196,244.49491500854492
33,6,0.599005,246.19197845458984
34,10,0.59464055,422.6977825164795
35,15,0.635625,321.8679428100586
36,8,0.60051703,276.28207206726074
37,15,0.64377695,253.32975387573242
38,16,0.62427676,256.9878101348877
39,11,0.6285819,259.2737674713135
40,14,0.6641764,216.75395965576172
41,16,0.6791281,194.9620246887207
42,17,0.6463404,195.21284103393555
43,15,0.6917828,194.90718841552734
44,16,0.6750176,196.97308540344238
45,17,0.6582995,196.41423225402832
46,14,0.688629,196.61998748779297
47,15,0.6506385,194.5040225982666
48,16,0.672076,197.28803634643555
49,17,0.64792997,195.16921043395996
50,15,0.64314234,196.34509086608887
51,15,0.66890615,194.52190399169922
52,17,0.6567083,197.27683067321777
53,16,0.66843724,196.6867446899414
54,15,0.65603375,194.62203979492188
55,16,0.6499656,196.90513610839844
56,19,0.6425782,197.6320743560791
57,15,0.66698354,193.76397132873535
58,15,0.66853887,196.486234664917
59,14,0.681376,194.9613094329834
60,15,0.6652944,197.7682113647461
61,18,0.6498997,196.5479850769043
62,19,0.6340356,196.98214530944824
63,17,0.6625389,194.7917938232422
64,19,0.63954526,201.41100883483887
65,18,0.65772706,195.0819492340088
66,16,0.6841365,196.7768669128418
67,19,0.6521428,196.36106491088867
68,15,0.6819651,195.01185417175293
69,15,0.6822036,206.27927780151367
70,20,0.6474566,198.2111930847168
71,17,0.6595261,196.34103775024414
72,17,0.6444295,201.9059658050537
73,16,0.6566502,196.19297981262207
74,15,0.67425764,196.44498825073242
75,16,0.6771591,196.7618465423584
76,17,0.66732204,197.80683517456055
77,17,0.658073,194.7929859161377
78,18,0.64504284,196.96497917175293
79,18,0.6471677,194.82111930847168
80,17,0.6508603,197.85070419311523
81,16,0.66032094,196.55299186706543
82,16,0.66004467,194.7779655456543
83,17,0.642796,196.83003425598145
84,14,0.6621269,194.39268112182617
85,16,0.64592385,196.98691368103027
86,11,0.6883271,196.58708572387695
87,17,0.64933383,197.34597206115723
88,13,0.63958365,197.3278522491455
89,15,0.6438982,194.9148178100586
90,14,0.65638745,196.35796546936035
91,16,0.6290955,195.71900367736816
92,16,0.6690999,198.00710678100586
93,17,0.65109247,194.67711448669434
94,12,0.65518564,210.73222160339355
95,16,0.6487546,197.65186309814453
96,16,0.6533431,198.13299179077148
97,15,0.658535,198.7771987915039
98,13,0.680692,254.29773330688477
99,16,0.64635646,252.90894508361816
100,17,0.63460374,257.45487213134766
101,17,0.64955544,308.840274810791
102,13,0.6630255,236.59014701843262
103,14,0.6776112,66.3290023803711
104,16,0.64832366,209.2757225036621
105,17,0.6444785,208.93597602844238
106,18,0.6405437,213.18912506103516
107,16,0.6572304,212.2039794921875
108,17,0.6561202,212.0647430419922
109,17,0.65778315,219.14386749267578
110,17,0.6652685,240.90337753295898
111,18,0.6626103,280.28011322021484
112,18,0.66436553,228.13105583190918
113,18,0.6638586,217.70191192626953
114,19,0.66690004,204.61392402648926
115,18,0.65979874,216.11690521240234
116,17,0.6773294,265.5200958251953
117,16,0.6959241,227.65111923217773
118,17,0.6692805,201.4007568359375
119,18,0.67168236,199.1119384765625
120,17,0.67683226,201.97725296020508
121,18,0.66759366,199.7091770172119
122,18,0.6716778,199.11623001098633
123,19,0.6543322,199.4912624359131
124,17,0.67314005,199.91397857666016
125,18,0.65006924,197.03984260559082
126,18,0.66339815,196.71082496643066
127,18,0.6709884,203.8719654083252
128,19,0.6617489,197.21484184265137
129,20,0.6618461,196.75111770629883
130,20,0.65808064,199.90086555480957
131,20,0.65736234,197.12305068969727
132,19,0.6705474,197.33285903930664
133,19,0.67173815,197.35097885131836
134,20,0.6731231,204.60104942321777
135,20,0.6743106,197.60894775390625
136,20,0.6758676,199.00107383728027
137,20,0.6763251,195.07408142089844
138,20,0.6770118,196.87414169311523
139,20,0.66706556,195.69802284240723
