Frame,Total Faces,Average Accuracy
0,20,0.7403620455576025
1,22,0.7972211371297422
2,20,0.823390397158536
3,12,0.7531098425388336
4,20,0.791195559501648
5,21,0.7336030751466751
6,20,0.7407264063755671
7,21,0.76325004867145
8,23,0.7748458857337633
9,20,0.7904614508152008
10,25,0.7486567390816552
11,20,0.7755882169889368
12,20,0.7886071619780167
13,24,0.7507907461237024
14,22,0.7249990145365397
15,18,0.8172579822332963
16,20,0.8240480661392212
17,22,0.7732788714078757
18,19,0.8036903713060461
19,19,0.815803736448288
20,18,0.8391151428222656
21,22,0.7500707964102428
22,22,0.7614210227440144
23,20,0.7684111020394734
24,21,0.7731476196875939
25,20,0.7892286529143652
26,20,0.8133379557858342
27,21,0.7733394375869206
28,20,0.7741750244583402
29,20,0.7865311434635749
30,22,0.7853602899445428
31,24,0.778871639416768
32,22,0.7664813314165387
33,24,0.7648982618536267
34,22,0.7645504921674728
35,23,0.764109210173289
36,20,0.7798865702417161
37,20,0.8103763556480408
38,23,0.7637237796077022
39,22,0.7859932849040399
40,23,0.7816560400856866
41,20,0.8196232843399048
42,22,0.8034995840145991
43,22,0.7617245213738804
44,22,0.7542312289106434
45,22,0.7647535622119903
46,21,0.7573407371838887
47,22,0.7764855582138588
48,21,0.7767807574107729
49,20,0.7885840599025998
50,21,0.7674437783382557
51,24,0.7271783099030004
52,22,0.7509961724281311
53,21,0.7893165520259312
54,22,0.7532367780804634
55,21,0.7705274309430804
56,23,0.7561432540416717
57,24,0.7705554922421773
58,23,0.7435356938477719
59,22,0.7573147397488356
60,22,0.7975758691628774
61,20,0.7960546144417354
62,22,0.7669820343294451
63,23,0.7860052128632863
64,22,0.7610374391078949
65,23,0.7493154195047194
66,22,0.7836330703326634
67,21,0.8082035481929779
68,22,0.7897797048091888
69,23,0.8229996341246145
70,22,0.7828282878316682
71,22,0.7683605743992713
72,23,0.7770563741525014
73,21,0.8040470316492278
74,21,0.8025822830200195
75,21,0.8051399632736489
76,23,0.7952790321974919
77,24,0.7449346048491342
78,25,0.7584573644580264
79,22,0.773416753472953
80,21,0.7718213549975691
81,21,0.8142696332931518
82,21,0.8072284483909606
83,24,0.7612217031419277
84,25,0.762175489874447
85,23,0.7679398867391771
86,23,0.7924394998057135
87,22,0.8089165240526199
88,23,0.7926361049924578
89,23,0.7881817738215129
90,22,0.7790587811634458
91,25,0.7526367709917181
92,22,0.773444700625635
93,21,0.8062520159615411
94,21,0.8178461980819702
95,22,0.8012175858020782
96,23,0.7773304081732227
97,22,0.7697734375794728
98,23,0.7669472555319469
99,21,0.7796655467578343
100,21,0.778535853933405
101,20,0.8128096209122584
102,20,0.8076728140866315
103,21,0.787684685417584
104,20,0.7614850843394244
105,21,0.7861687477145877
106,22,0.7953124885205869
107,20,0.8178901815414429
108,20,0.8133369134022639
109,22,0.786050443138395
110,20,0.7589462995529175
111,21,0.778327899319785
112,23,0.7818340289181677
113,20,0.8051120114326477
114,21,0.8233587195475897
115,22,0.7807407123701913
116,22,0.776288703083992
117,20,0.773292049213692
118,21,0.758693462815778
119,22,0.7834499222891671
120,19,0.8351708806079366
